Hero Potion,698,
Research Potion,698,
Power Potion,698,
Resource Potion,698,
Wall Rings,698,2-3
Dark Elixir,698,chestresources.csv#10:Dark Elixir
Gold,698,chestresources.csv#10:Gold
Elixir,698,chestresources.csv#10:Elixir
Shiny Ore,698,350-500
Glowy Ore,698,35-50
Starry Ore,698,3-4
Builder Potion,465,
Capital Gold,465,chestresources.csv#10:Capital Gold*2
Builder Gold,349,chestresources.csv#10:Builder Gold*2
Builder Elixir,349,chestresources.csv#10:Builder Elixir*2
Builder Star Jar,349,
Clock Tower Potion,349,
