Item,Image
Dark Elixir,https://static.wikia.nocookie.net/clashofclans/images/4/4e/Dark_Elixir.png
Gold,https://static.wikia.nocookie.net/clashofclans/images/1/10/Gold.png
Elixir,https://static.wikia.nocookie.net/clashofclans/images/4/43/Elixir.png
Builder Bite,https://static.wikia.nocookie.net/clashofclans/images/7/7e/Builder_Bite.png
Clan Castle Cake,https://static.wikia.nocookie.net/clashofclans/images/f/f7/Clan_Castle_Cake.png
Study Soup,https://static.wikia.nocookie.net/clashofclans/images/1/10/Study_Soup.png
Power Pancakes,https://static.wikia.nocookie.net/clashofclans/images/f/f7/Power_Pancakes.png
Mighty Morsel,https://static.wikia.nocookie.net/clashofclans/images/8/81/Mighty_Morsel.png
Builder Gold,https://static.wikia.nocookie.net/clashofclans/images/f/f3/GoldB.png
Builder Elixir,https://static.wikia.nocookie.net/clashofclans/images/0/07/ElixirB.png
Capital Gold,https://static.wikia.nocookie.net/clashofclans/images/a/a0/GoldC.png
Hero Potion,https://static.wikia.nocookie.net/clashofclans/images/e/e6/Hero_Potion.png
Research Potion,https://static.wikia.nocookie.net/clashofclans/images/4/4e/Research_Potion.png
Power Potion,https://static.wikia.nocookie.net/clashofclans/images/0/06/Power_Potion.png
Resource Potion,https://static.wikia.nocookie.net/clashofclans/images/2/2e/Resource_Potion.png
Wall Rings,https://static.wikia.nocookie.net/clashofclans/images/6/60/Wall_Ring.png
Shiny Ore,https://static.wikia.nocookie.net/clashofclans/images/d/da/Shiny_Ore.png
Glowy Ore,https://static.wikia.nocookie.net/clashofclans/images/7/72/Glowy_Ore.png
Starry Ore,https://static.wikia.nocookie.net/clashofclans/images/0/07/Starry_Ore.png
Builder Potion,https://static.wikia.nocookie.net/clashofclans/images/1/1c/Builder_Potion.png
Pet Potion,https://static.wikia.nocookie.net/clashofclans/images/7/73/Pet_Potion.png
Super Potion,https://static.wikia.nocookie.net/clashofclans/images/8/8f/Super_Potion.png
Builder Star Jar,https://static.wikia.nocookie.net/clashofclans/images/f/f6/Builder_Star_Jar.png
Clock Tower Potion,https://static.wikia.nocookie.net/clashofclans/images/a/a1/Clock_Tower_Potion.png
Book of Building,https://static.wikia.nocookie.net/clashofclans/images/c/ce/Book_of_Building.png
Book of Fighting,https://static.wikia.nocookie.net/clashofclans/images/f/f0/Book_of_Fighting.png
Book of Heroes,https://static.wikia.nocookie.net/clashofclans/images/4/46/Book_of_Heroes.png
Shovel of Obstacles,https://static.wikia.nocookie.net/clashofclans/images/6/6f/Shovel_of_Obstacles.png
Book of Spells,https://static.wikia.nocookie.net/clashofclans/images/3/30/Book_of_Spells.png
Rune of Builder Gold,https://static.wikia.nocookie.net/clashofclans/images/b/bf/Rune_of_Builder_Gold.png
Rune of Builder Elixir,https://static.wikia.nocookie.net/clashofclans/images/9/9d/Rune_of_Builder_Elixir.png
Hammer of Building,https://static.wikia.nocookie.net/clashofclans/images/6/6b/Hammer_of_Building.png
Hammer of Fighting,https://static.wikia.nocookie.net/clashofclans/images/2/25/Hammer_of_Fighting.png
Hammer of Heroes,https://static.wikia.nocookie.net/clashofclans/images/b/b5/Hammer_of_Heroes.png
Rune of Dark Elixir,https://static.wikia.nocookie.net/clashofclans/images/d/da/Rune_of_Dark_Elixir.png
Rune of Gold,https://static.wikia.nocookie.net/clashofclans/images/9/90/Rune_of_Gold.png
Rune of Elixir,https://static.wikia.nocookie.net/clashofclans/images/a/a9/Rune_of_Elixir.png
Book of Everything,https://static.wikia.nocookie.net/clashofclans/images/a/aa/Book_of_Everything.png
Hammer of Spells,https://static.wikia.nocookie.net/clashofclans/images/e/ed/Hammer_of_Spells.png
