Town Hall,Elixir,Gold,Dark Elixir,Builder Gold,Builder Elixir,Capital Gold
1,100-150,100-150,,,,
2,332-498,332-498,,,,
3,3833-5750,3833-5750,,,,
4,18748-28121,18748-28121,,375000-625000,375000-625000,
5,36660-54991,36660-54991,,375000-625000,375000-625000,
6,71651-107476,71651-107476,,375000-625000,375000-625000,1000-1500
7,139962-209943,139962-209943,444-667,375000-625000,375000-625000,1000-1500
8,204934-307401,204934-307401,1745-2618,375000-625000,375000-625000,1000-1500
9,266566-399848,266566-399848,4069-6103,375000-625000,375000-625000,1000-1500
10,276129-414193,276129-414193,4202-6303,375000-625000,375000-625000,1000-1500
11,316508-474762,316508-474762,4121-6182,375000-625000,375000-625000,1000-1500
12,431423-647135,431423-647135,4848-7273,375000-625000,375000-625000,1000-1500
13,539659-809489,539659-809489,5941-8911,375000-625000,375000-625000,1000-1500
14,612069-918103,612069-918103,6982-10473,375000-625000,375000-625000,1000-1500
15,651157-976735,651157-976735,7406-11109,375000-625000,375000-625000,1000-1500
16,714384-1071576,714384-1071576,7992-11988,375000-625000,375000-625000,1000-1500
17,745958-1118937,745958-1118937,8364-12545,375000-625000,375000-625000,1000-1500
18,800000-1200000,800000-1200000,8889-13333,375000-625000,375000-625000,1000-1500
