Name,Cost,Resource,Weight,Reward
Mushroom,100,Elixir,10,11111222223333444556
Bush,250,Elixir,20,11111222223333444556
Trunk,1000,Elixir,40,11111222223333444556
Small Tree,2000,Elixir,20,11111222223333444556
Medium Tree,7500,Elixir,5,11111222223333444556
Large Tree,10000,Elixir,5,11111222223333444556
Small Stone,500,Gold,30,11111222223333444556
Pebbles,500,Gold,30,11111222223333444556
Small Rock,2500,Gold,25,11111222223333444556
Tall Stone,10000,Gold,10,11111222223333444556
Big Rock,20000,Gold,5,11111222223333444556
