Name,Requirement,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Town Hall,Town Hall,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Town Hall 17 Weapon,Town Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Smasher,Town Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Longshot,Town Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Logger,Town Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Cannon,Town Hall,2,2,2,2,3,3,5,5,5,6,7,7,7,7,7,7,7,7,7
Archer Tower,Town Hall,0,1,1,2,3,3,4,5,6,7,8,8,8,8,8,8,9,9,9
Mortar,Town Hall,0,0,1,1,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4
Air Defense,Town Hall,0,0,0,1,1,2,3,3,4,4,4,4,4,4,4,4,4,4,4
Wizard Tower,Town Hall,0,0,0,0,1,2,2,3,4,4,5,5,5,5,5,5,5,6,6
Air Sweeper,Town Hall,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2
Hidden Tesla,Town Hall,0,0,0,0,0,0,2,3,4,4,4,5,5,5,5,5,5,5,5
Bomb Tower,Town Hall,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2
X-Bow,Town Hall,0,0,0,0,0,0,0,0,2,3,4,4,4,4,4,4,4,4,4
Inferno Tower,Town Hall,0,0,0,0,0,0,0,0,0,2,2,3,3,3,3,3,3,3,3
Eagle Artillery,Town Hall,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Scattershot,Town Hall,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2
Builder's Hut,Town Hall,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Monolith,Town Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Spell Tower,Town Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
Ricochet Cannon,Town Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3
Multi-Archer Tower,Town Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3
