Name,Requirement,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Town Hall,Town Hall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18
Town Hall 17 Weapon,Town Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
Smasher,Town Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
Longshot,Town Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
Logger,Town Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
Cannon,Town Hall,2,3,4,5,6,7,8,10,11,13,15,17,19,20,21,21,21,21,21
Archer Tower,Town Hall,0,2,3,4,6,7,8,10,11,13,15,17,19,20,21,21,21,21,21
Mortar,Town Hall,0,0,1,2,3,4,5,6,7,8,10,12,13,14,15,16,17,20,20
Air Defense,Town Hall,0,0,0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,18,18
Wizard Tower,Town Hall,0,0,0,0,2,3,4,6,7,9,10,11,13,14,15,16,17,17,17
Air Sweeper,Town Hall,0,0,0,0,0,2,3,4,5,6,7,7,7,7,7,7,7,7,7
Hidden Tesla,Town Hall,0,0,0,0,0,0,3,6,7,8,9,10,12,13,14,15,16,19,19
Bomb Tower,Town Hall,0,0,0,0,0,0,0,2,3,4,6,7,8,9,10,11,12,15,15
X-Bow,Town Hall,0,0,0,0,0,0,0,0,3,4,5,6,8,9,10,11,12,15,15
Inferno Tower,Town Hall,0,0,0,0,0,0,0,0,0,3,5,6,7,8,9,10,11,14,14
Eagle Artillery,Town Hall,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,7,7,7,7
Scattershot,Town Hall,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,9,9
Builder's Hut,Town Hall,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,6,7,10,10
Monolith,Town Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,7,7
Spell Tower,Town Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4
Ricochet Cannon,Town Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,6
Multi-Archer Tower,Town Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,6
Firespitter,Town Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5
Multi-Gear Tower,Town Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5
Revenge Tower,Town Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
Super Wizard Tower,Town Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
Crafted Defense AA,Town Hall,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,10,10
Crafted Defense AB,Town Hall,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,10,10
Crafted Defense AC,Town Hall,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,10,10
Crafted Defense BA,Town Hall,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,10,10
Crafted Defense BB,Town Hall,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,10,10
Crafted Defense BC,Town Hall,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,10,10
Crafted Defense CA,Town Hall,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,10,10
Crafted Defense CB,Town Hall,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,10,10
Crafted Defense CC,Town Hall,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,10,10
Wall,Town Hall,0,2,3,4,5,6,7,8,10,11,12,13,14,15,16,17,18,19,19
Bomb,Town Hall,0,0,2,2,3,3,4,5,6,7,8,8,9,10,11,12,13,14,14
Spring Trap,Town Hall,0,0,0,1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,13
Air Bomb,Town Hall,0,0,0,0,2,2,3,3,4,4,5,6,8,9,10,11,12,13,13
Giant Bomb,Town Hall,0,0,0,0,0,2,2,3,3,4,5,5,7,8,9,10,11,12,12
Seeking Air Mine,Town Hall,0,0,0,0,0,0,1,1,2,3,3,3,4,4,5,6,7,8,8
Skeleton Trap,Town Hall,0,0,0,0,0,0,0,2,3,4,4,4,4,4,4,4,4,5,5
Tornado Trap,Town Hall,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,3,3,3
