Name,Time,Cost,Resource,Image
Town Hall 2,10,1000,Gold,https://static.wikia.nocookie.net/clashofclans/images/7/7d/Town_Hall2.png
Town Hall 3,1800,4000,Gold,https://static.wikia.nocookie.net/clashofclans/images/d/dd/Town_Hall3.png
Town Hall 4,10800,25000,Gold,https://static.wikia.nocookie.net/clashofclans/images/e/e7/Town_Hall4.png
Town Hall 5,21600,150000,Gold,https://static.wikia.nocookie.net/clashofclans/images/a/a3/Town_Hall5.png
Town Hall 6,43200,500000,Gold,https://static.wikia.nocookie.net/clashofclans/images/5/52/Town_Hall6.png
Town Hall 7,64800,1000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/7/75/Town_Hall7.png
Town Hall 8,86400,2000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/f/fa/Town_Hall8.png
Town Hall 9,172800,2500000,Gold,https://static.wikia.nocookie.net/clashofclans/images/e/e0/Town_Hall9.png
Town Hall 10,259200,3500000,Gold,https://static.wikia.nocookie.net/clashofclans/images/5/5c/Town_Hall10.png
Town Hall 11,432000,4000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/9/96/Town_Hall11.png
Town Hall 12,518400,6000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/b/b7/Town_Hall12.png
Town Hall 13,604800,9000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/7/73/Town_Hall13.png
Town Hall 14,648000,12000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/b/b6/Town_Hall14.png
Town Hall 15,691200,13000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/d/d4/Town_Hall15.png
Town Hall 16,777600,15000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/5/53/Town_Hall16.png
TH17 Inferno Artillery 1,864000,16000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/b/bf/Inferno_Artillery1.png
TH17 Inferno Artillery 2,518400,10000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/9/92/Inferno_Artillery2.png
TH17 Inferno Artillery 3,604800,12000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/c/c7/Inferno_Artillery3.png
TH17 Inferno Artillery 4,691200,14000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/0/0a/Inferno_Artillery4.png
TH17 Inferno Artillery 5,864000,18000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/9/9a/Inferno_Artillery5.png
Town Hall 18,1036800,25000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/7/76/Town_Hall18.png
Smasher 2,604800,18000000,Elixir,https://static.wikia.nocookie.net/clashofclans/images/d/db/Guardians_Smasher_info2.png
Smasher 3,777600,22000000,Elixir,https://static.wikia.nocookie.net/clashofclans/images/d/db/Guardians_Smasher_info2.png
Smasher 4,950400,26000000,Elixir,https://static.wikia.nocookie.net/clashofclans/images/d/db/Guardians_Smasher_info2.png
Smasher 5,1123200,28000000,Elixir,https://static.wikia.nocookie.net/clashofclans/images/d/db/Guardians_Smasher_info2.png
Longshot 2,604800,18000000,Elixir,https://static.wikia.nocookie.net/clashofclans/images/3/3a/Guardians_Longshot_info2.png
Longshot 3,777600,22000000,Elixir,https://static.wikia.nocookie.net/clashofclans/images/3/3a/Guardians_Longshot_info2.png
Longshot 4,950400,26000000,Elixir,https://static.wikia.nocookie.net/clashofclans/images/3/3a/Guardians_Longshot_info2.png
Longshot 5,1123200,28000000,Elixir,https://static.wikia.nocookie.net/clashofclans/images/3/3a/Guardians_Longshot_info2.png
