Name,Category,Data Format
Gems,Currency,integer
Gold,Currency,integer
Elixir,Currency,integer
Dark Elixir,Currency,integer
Builder Gold,Currency,integer
Builder Elixir,Currency,integer
Capital Gold,Currency,integer
Shiny Ore,Currency,integer
Glowy Ore,Currency,short
Starry Ore,Currency,short
Raid Medals,Currency,short
Clan War League Medals,Currency,short
Experience,Statistic,long
Total Gems,Statistic,integer
Total Gold,Statistic,long
Total Elixir,Statistic,long
Total Dark Elixir,Statistic,long
Total Builder Gold,Statistic,long
Total Builder Elixir,Statistic,long
Total Capital Gold,Statistic,integer
Total Shiny Ore,Statistic,integer
Total Glowy Ore,Statistic,integer
Total Starry Ore,Statistic,integer
Obstacles Cleared,Statistic,short
Total Raid Medals,Statistic,integer
Total Clan War League Medals,Statistic,integer
Total Opened Chests,Statistic,integer
Last Resource Check,Statistic,integer
Last Obstacle Check,Statistic,integer
Mushroom,Obstacle,byte
Bush,Obstacle,byte
Trunk,Obstacle,byte
Small Tree,Obstacle,byte
Medium Tree,Obstacle,byte
Large Tree,Obstacle,byte
Small Stone,Obstacle,byte
Pebbles,Obstacle,byte
Small Rock,Obstacle,byte
Tall Stone,Obstacle,byte
Big Rock,Obstacle,byte
Treasury Gold,Treasury,integer
Treasury Elixir,Treasury,integer
Treasury Dark Elixir,Treasury,integer
Builder Bite,Magic Item,byte
Clan Castle Cake,Magic Item,byte
Study Soup,Magic Item,byte
Power Pancakes,Magic Item,byte
Mighty Morsel,Magic Item,byte
Hero Potion,Magic Item,byte
Research Potion,Magic Item,byte
Power Potion,Magic Item,byte
Resource Potion,Magic Item,byte
Wall Rings,Magic Item,byte
Builder Potion,Magic Item,byte
Pet Potion,Magic Item,byte
Super Potion,Magic Item,byte
Builder Star Jar,Magic Item,byte
Clock Tower Potion,Magic Item,byte
Shovel of Obstacles,Magic Item,byte
Book of Building,Magic Item,byte
Book of Heroes,Magic Item,byte
Book of Fighting,Magic Item,byte
Book of Spells,Magic Item,byte
Book of Everything,Magic Item,byte
Rune of Builder Gold,Magic Item,byte
Rune of Builder Elixir,Magic Item,byte
Hammer of Building,Magic Item,byte
Hammer of Heroes,Magic Item,byte
Hammer of Fighting,Magic Item,byte
Hammer of Spells,Magic Item,byte
Rune of Gold,Magic Item,byte
Rune of Elixir,Magic Item,byte
Rune of Dark Elixir,Magic Item,byte
Builder #1 Upgrade,Upgrade,short
Builder #1 Time,Upgrade,integer
Builder #2 Upgrade,Upgrade,short
Builder #2 Time,Upgrade,integer
Builder #3 Upgrade,Upgrade,short
Builder #3 Time,Upgrade,integer
Builder #4 Upgrade,Upgrade,short
Builder #4 Time,Upgrade,integer
Builder #5 Upgrade,Upgrade,short
Builder #5 Time,Upgrade,integer
Builder #6 Upgrade,Upgrade,short
Builder #6 Time,Upgrade,integer
Builder #7 Upgrade,Upgrade,short
Builder #7 Time,Upgrade,integer
Builder #8 Upgrade,Upgrade,short
Builder #8 Time,Upgrade,integer
Builder #9 Upgrade,Upgrade,short
Builder #9 Time,Upgrade,integer
Researcher #1 Upgrade,Upgrade,short
Researcher #1 Time,Upgrade,integer
Researcher #2 Upgrade,Upgrade,short
Researcher #2 Time,Upgrade,integer
Researcher #3 Upgrade,Upgrade,short
Researcher #3 Time,Upgrade,integer
Builder #1 Currency,Upgrade,byte
Builder #1 Cost,Upgrade,integer
Builder #2 Currency,Upgrade,byte
Builder #2 Cost,Upgrade,integer
Builder #3 Currency,Upgrade,byte
Builder #3 Cost,Upgrade,integer
Builder #4 Currency,Upgrade,byte
Builder #4 Cost,Upgrade,integer
Builder #5 Currency,Upgrade,byte
Builder #5 Cost,Upgrade,integer
Builder #6 Currency,Upgrade,byte
Builder #6 Cost,Upgrade,integer
Builder #7 Currency,Upgrade,byte
Builder #7 Cost,Upgrade,integer
Builder #8 Currency,Upgrade,byte
Builder #8 Cost,Upgrade,integer
Builder #9 Currency,Upgrade,byte
Builder #9 Cost,Upgrade,integer
Researcher #1 Currency,Upgrade,byte
Researcher #1 Cost,Upgrade,integer
Researcher #2 Currency,Upgrade,byte
Researcher #2 Cost,Upgrade,integer
Researcher #3 Currency,Upgrade,byte
Researcher #3 Cost,Upgrade,integer
Town Hall,Important,byte
Town Hall 12 Weapon,Defense Level,byte
Town Hall 13 Weapon,Defense Level,byte
Town Hall 14 Weapon,Defense Level,byte
Town Hall 15 Weapon,Defense Level,byte
Town Hall 17 Weapon,Defense Level,byte
Smasher,Defense Level,byte
Longshot,Defense Level,byte
Logger,Defense Level,byte
Cannon #1,Defense Level,byte
Cannon #2,Defense Level,byte
Cannon #3,Defense Level,byte
Cannon #4,Defense Level,byte
Cannon #5,Defense Level,byte
Cannon #6,Defense Level,byte
Cannon #7,Defense Level,byte
Archer Tower #1,Defense Level,byte
Archer Tower #2,Defense Level,byte
Archer Tower #3,Defense Level,byte
Archer Tower #4,Defense Level,byte
Archer Tower #5,Defense Level,byte
Archer Tower #6,Defense Level,byte
Archer Tower #7,Defense Level,byte
Archer Tower #8,Defense Level,byte
Archer Tower #9,Defense Level,byte
Mortar #1,Defense Level,byte
Mortar #2,Defense Level,byte
Mortar #3,Defense Level,byte
Mortar #4,Defense Level,byte
Air Defense #1,Defense Level,byte
Air Defense #2,Defense Level,byte
Air Defense #3,Defense Level,byte
Air Defense #4,Defense Level,byte
Wizard Tower #1,Defense Level,byte
Wizard Tower #2,Defense Level,byte
Wizard Tower #3,Defense Level,byte
Wizard Tower #4,Defense Level,byte
Wizard Tower #5,Defense Level,byte
Air Sweeper #1,Defense Level,byte
Air Sweeper #2,Defense Level,byte
Hidden Tesla #1,Defense Level,byte
Hidden Tesla #2,Defense Level,byte
Hidden Tesla #3,Defense Level,byte
Hidden Tesla #4,Defense Level,byte
Hidden Tesla #5,Defense Level,byte
Bomb Tower #1,Defense Level,byte
Bomb Tower #2,Defense Level,byte
X-Bow #1,Defense Level,byte
X-Bow #2,Defense Level,byte
X-Bow #3,Defense Level,byte
X-Bow #4,Defense Level,byte
Inferno Tower #1,Defense Level,byte
Inferno Tower #2,Defense Level,byte
Inferno Tower #3,Defense Level,byte
Eagle Artillery,Defense Level,byte
Scattershot #1,Defense Level,byte
Scattershot #2,Defense Level,byte
Builder's Hut #1,Defense Level,byte
Builder's Hut #2,Defense Level,byte
Builder's Hut #3,Defense Level,byte
Builder's Hut #4,Defense Level,byte
Builder's Hut #5,Defense Level,byte
Monolith,Defense Level,byte
Spell Tower #1,Defense Level,byte
Spell Tower #2,Defense Level,byte
Ricochet Cannon #1,Defense Level,byte
Ricochet Cannon #2,Defense Level,byte
Ricochet Cannon #3,Defense Level,byte
Multi-Archer Tower #1,Defense Level,byte
Multi-Archer Tower #2,Defense Level,byte
Multi-Archer Tower #3,Defense Level,byte
Multi-Archer Tower #4,Defense Level,byte
Firespitter #1,Defense Level,byte
Firespitter #2,Defense Level,byte
Multi-Gear Tower,Defense Level,byte
Revenge Tower,Defense Level,byte
Super Wizard Tower #1,Defense Level,byte
Super Wizard Tower #2,Defense Level,byte
Crafted Defense AA,Defense Level,byte
Crafted Defense AB,Defense Level,byte
Crafted Defense AC,Defense Level,byte
Crafted Defense BA,Defense Level,byte
Crafted Defense BB,Defense Level,byte
Crafted Defense BC,Defense Level,byte
Crafted Defense CA,Defense Level,byte
Crafted Defense CB,Defense Level,byte
Crafted Defense CC,Defense Level,byte
Wall #1,Wall Level,byte
Wall #2,Wall Level,byte
Wall #3,Wall Level,byte
Wall #4,Wall Level,byte
Wall #5,Wall Level,byte
Wall #6,Wall Level,byte
Wall #7,Wall Level,byte
Wall #8,Wall Level,byte
Wall #9,Wall Level,byte
Wall #10,Wall Level,byte
Wall #11,Wall Level,byte
Wall #12,Wall Level,byte
Wall #13,Wall Level,byte
Wall #14,Wall Level,byte
Wall #15,Wall Level,byte
Wall #16,Wall Level,byte
Wall #17,Wall Level,byte
Wall #18,Wall Level,byte
Wall #19,Wall Level,byte
Wall #20,Wall Level,byte
Wall #21,Wall Level,byte
Wall #22,Wall Level,byte
Wall #23,Wall Level,byte
Wall #24,Wall Level,byte
Wall #25,Wall Level,byte
Wall #26,Wall Level,byte
Wall #27,Wall Level,byte
Wall #28,Wall Level,byte
Wall #29,Wall Level,byte
Wall #30,Wall Level,byte
Wall #31,Wall Level,byte
Wall #32,Wall Level,byte
Wall #33,Wall Level,byte
Wall #34,Wall Level,byte
Wall #35,Wall Level,byte
Wall #36,Wall Level,byte
Wall #37,Wall Level,byte
Wall #38,Wall Level,byte
Wall #39,Wall Level,byte
Wall #40,Wall Level,byte
Wall #41,Wall Level,byte
Wall #42,Wall Level,byte
Wall #43,Wall Level,byte
Wall #44,Wall Level,byte
Wall #45,Wall Level,byte
Wall #46,Wall Level,byte
Wall #47,Wall Level,byte
Wall #48,Wall Level,byte
Wall #49,Wall Level,byte
Wall #50,Wall Level,byte
Wall #51,Wall Level,byte
Wall #52,Wall Level,byte
Wall #53,Wall Level,byte
Wall #54,Wall Level,byte
Wall #55,Wall Level,byte
Wall #56,Wall Level,byte
Wall #57,Wall Level,byte
Wall #58,Wall Level,byte
Wall #59,Wall Level,byte
Wall #60,Wall Level,byte
Wall #61,Wall Level,byte
Wall #62,Wall Level,byte
Wall #63,Wall Level,byte
Wall #64,Wall Level,byte
Wall #65,Wall Level,byte
Wall #66,Wall Level,byte
Wall #67,Wall Level,byte
Wall #68,Wall Level,byte
Wall #69,Wall Level,byte
Wall #70,Wall Level,byte
Wall #71,Wall Level,byte
Wall #72,Wall Level,byte
Wall #73,Wall Level,byte
Wall #74,Wall Level,byte
Wall #75,Wall Level,byte
Wall #76,Wall Level,byte
Wall #77,Wall Level,byte
Wall #78,Wall Level,byte
Wall #79,Wall Level,byte
Wall #80,Wall Level,byte
Wall #81,Wall Level,byte
Wall #82,Wall Level,byte
Wall #83,Wall Level,byte
Wall #84,Wall Level,byte
Wall #85,Wall Level,byte
Wall #86,Wall Level,byte
Wall #87,Wall Level,byte
Wall #88,Wall Level,byte
Wall #89,Wall Level,byte
Wall #90,Wall Level,byte
Wall #91,Wall Level,byte
Wall #92,Wall Level,byte
Wall #93,Wall Level,byte
Wall #94,Wall Level,byte
Wall #95,Wall Level,byte
Wall #96,Wall Level,byte
Wall #97,Wall Level,byte
Wall #98,Wall Level,byte
Wall #99,Wall Level,byte
Wall #100,Wall Level,byte
Wall #101,Wall Level,byte
Wall #102,Wall Level,byte
Wall #103,Wall Level,byte
Wall #104,Wall Level,byte
Wall #105,Wall Level,byte
Wall #106,Wall Level,byte
Wall #107,Wall Level,byte
Wall #108,Wall Level,byte
Wall #109,Wall Level,byte
Wall #110,Wall Level,byte
Wall #111,Wall Level,byte
Wall #112,Wall Level,byte
Wall #113,Wall Level,byte
Wall #114,Wall Level,byte
Wall #115,Wall Level,byte
Wall #116,Wall Level,byte
Wall #117,Wall Level,byte
Wall #118,Wall Level,byte
Wall #119,Wall Level,byte
Wall #120,Wall Level,byte
Wall #121,Wall Level,byte
Wall #122,Wall Level,byte
Wall #123,Wall Level,byte
Wall #124,Wall Level,byte
Wall #125,Wall Level,byte
Wall #126,Wall Level,byte
Wall #127,Wall Level,byte
Wall #128,Wall Level,byte
Wall #129,Wall Level,byte
Wall #130,Wall Level,byte
Wall #131,Wall Level,byte
Wall #132,Wall Level,byte
Wall #133,Wall Level,byte
Wall #134,Wall Level,byte
Wall #135,Wall Level,byte
Wall #136,Wall Level,byte
Wall #137,Wall Level,byte
Wall #138,Wall Level,byte
Wall #139,Wall Level,byte
Wall #140,Wall Level,byte
Wall #141,Wall Level,byte
Wall #142,Wall Level,byte
Wall #143,Wall Level,byte
Wall #144,Wall Level,byte
Wall #145,Wall Level,byte
Wall #146,Wall Level,byte
Wall #147,Wall Level,byte
Wall #148,Wall Level,byte
Wall #149,Wall Level,byte
Wall #150,Wall Level,byte
Wall #151,Wall Level,byte
Wall #152,Wall Level,byte
Wall #153,Wall Level,byte
Wall #154,Wall Level,byte
Wall #155,Wall Level,byte
Wall #156,Wall Level,byte
Wall #157,Wall Level,byte
Wall #158,Wall Level,byte
Wall #159,Wall Level,byte
Wall #160,Wall Level,byte
Wall #161,Wall Level,byte
Wall #162,Wall Level,byte
Wall #163,Wall Level,byte
Wall #164,Wall Level,byte
Wall #165,Wall Level,byte
Wall #166,Wall Level,byte
Wall #167,Wall Level,byte
Wall #168,Wall Level,byte
Wall #169,Wall Level,byte
Wall #170,Wall Level,byte
Wall #171,Wall Level,byte
Wall #172,Wall Level,byte
Wall #173,Wall Level,byte
Wall #174,Wall Level,byte
Wall #175,Wall Level,byte
Wall #176,Wall Level,byte
Wall #177,Wall Level,byte
Wall #178,Wall Level,byte
Wall #179,Wall Level,byte
Wall #180,Wall Level,byte
Wall #181,Wall Level,byte
Wall #182,Wall Level,byte
Wall #183,Wall Level,byte
Wall #184,Wall Level,byte
Wall #185,Wall Level,byte
Wall #186,Wall Level,byte
Wall #187,Wall Level,byte
Wall #188,Wall Level,byte
Wall #189,Wall Level,byte
Wall #190,Wall Level,byte
Wall #191,Wall Level,byte
Wall #192,Wall Level,byte
Wall #193,Wall Level,byte
Wall #194,Wall Level,byte
Wall #195,Wall Level,byte
Wall #196,Wall Level,byte
Wall #197,Wall Level,byte
Wall #198,Wall Level,byte
Wall #199,Wall Level,byte
Wall #200,Wall Level,byte
Wall #201,Wall Level,byte
Wall #202,Wall Level,byte
Wall #203,Wall Level,byte
Wall #204,Wall Level,byte
Wall #205,Wall Level,byte
Wall #206,Wall Level,byte
Wall #207,Wall Level,byte
Wall #208,Wall Level,byte
Wall #209,Wall Level,byte
Wall #210,Wall Level,byte
Wall #211,Wall Level,byte
Wall #212,Wall Level,byte
Wall #213,Wall Level,byte
Wall #214,Wall Level,byte
Wall #215,Wall Level,byte
