Hero Potion,https://static.wikia.nocookie.net/clashofclans/images/e/e6/Hero_Potion.png,638,
Research Potion,https://static.wikia.nocookie.net/clashofclans/images/4/4e/Research_Potion.png,638,
Power Potion,https://media.ffycdn.net/eu/supercell/21JjCQWCXvqgaYo8TMHZ.png,638,
Resource Potion,https://media.ffycdn.net/eu/supercell/vXFkXzxP3L7uvC4Eut5E.png,638,
Wall Rings,https://media.ffycdn.net/eu/supercell/HCKdy9npQChx3BmYR8S5.png,638,2-3
Dark Elixir,https://static.wikia.nocookie.net/clashofclans/images/4/4e/Dark_Elixir.png,638,
Gold,https://static.wikia.nocookie.net/clashofclans/images/1/10/Gold.png,638,1600000-2500000
Elixir,https://static.wikia.nocookie.net/clashofclans/images/4/43/Elixir.png,638,1600000-2500000
Shiny Ore,https://media.ffycdn.net/eu/supercell/vcy22P2s3SfB91tUm6HV.png,638,500-750
Glowy Ore,https://media.ffycdn.net/eu/supercell/54BRhBgyLWvGDsg2UCsj.png,638,50-75
Starry Ore,https://media.ffycdn.net/eu/supercell/zaS6mtw1tiftumPVcgPY.png,638,6-7
Builder Potion,https://media.ffycdn.net/eu/supercell/UXqWcysrYAgq4mbDp59j.png,426,
Pet Potion,https://media.ffycdn.net/eu/supercell/PGcfWNqGNXyV3AznAcHj.png,426,
Super Potion,https://media.ffycdn.net/eu/supercell/abvby2i56DcKB19qtwnj.png,426,
Capital Gold,https://static.wikia.nocookie.net/clashofclans/images/a/a0/GoldC.png,426,2000-3000
Builder Gold,https://media.ffycdn.net/eu/supercell/ePvmnu5eP1nT2RJgLQGC.png,319,750000-1250000
Builder Elixir,https://media.ffycdn.net/eu/supercell/jtr2orDgxBcot1e7wVMD.png,319,750000-1250000
Builder Star Jar,https://media.ffycdn.net/eu/supercell/fy39KDfE7BUFhpMZZoEC.png,319,
Clock tower Potion,https://static.wikia.nocookie.net/clashofclans/images/a/a1/Clock_Tower_Potion.png,319,
