Town Hall,Elixir,Gold,Dark Elixir,Builder Gold,Builder Elixir,Capital Gold
1,6000-12000,6000-12000,,,,
2,6000-12000,6000-12000,,,,
3,15000-30000,15000-30000,,,,
4,40000-80000,40000-80000,,750000-1250000,750000-1250000,
5,80000-160000,80000-160000,,750000-1250000,750000-1250000,
6,160000-320000,160000-320000,,750000-1250000,750000-1250000,2000-3000
7,300000-600000,300000-600000,2400-4000,750000-1250000,750000-1250000,2000-3000
8,500000-1000000,500000-1000000,4800-8000,750000-1250000,750000-1250000,2000-3000
9,650000-1300000,650000-1300000,8400-14000,750000-1250000,750000-1250000,2000-3000
10,800000-1600000,800000-1600000,12000-20000,750000-1250000,750000-1250000,2000-3000
11,900000-1800000,900000-1800000,13500-22500,750000-1250000,750000-1250000,2000-3000
12,1000000-1900000,1000000-1900000,14500-23750,750000-1250000,750000-1250000,2000-3000
13,1100000-2000000,1100000-2000000,15500-25000,750000-1250000,750000-1250000,2000-3000
14,1200000-2100000,1200000-2100000,16500-26000,750000-1250000,750000-1250000,2000-3000
15,1300000-2200000,1300000-2200000,17500-27000,750000-1250000,750000-1250000,2000-3000
16,1400000-2300000,1400000-2300000,18000-27500,750000-1250000,750000-1250000,2000-3000
17,1500000-2400000,1500000-2400000,18500-28000,750000-1250000,750000-1250000,2000-3000
18,1600000-2500000,1600000-2500000,19000-28500,750000-1250000,750000-1250000,2000-3000
