Serial,Name,Category
0,Town Hall,Structure Level
1,Town Hall 12 Weapon,Structure Level
2,Town Hall 13 Weapon,Structure Level
3,Town Hall 14 Weapon,Structure Level
4,Town Hall 15 Weapon,Structure Level
5,Town Hall 17 Weapon,Structure Level
6,Smasher,Structure Level
7,Longshot,Structure Level
8,Logger,Structure Level
10,Cannon #1,Structure Level
11,Cannon #2,Structure Level
12,Cannon #3,Structure Level
13,Cannon #4,Structure Level
14,Cannon #5,Structure Level
15,Cannon #6,Structure Level
16,Cannon #7,Structure Level
20,Archer Tower #1,Structure Level
21,Archer Tower #2,Structure Level
22,Archer Tower #3,Structure Level
23,Archer Tower #4,Structure Level
24,Archer Tower #5,Structure Level
25,Archer Tower #6,Structure Level
26,Archer Tower #7,Structure Level
27,Archer Tower #8,Structure Level
28,Archer Tower #9,Structure Level
30,Mortar #1,Structure Level
31,Mortar #2,Structure Level
32,Mortar #3,Structure Level
33,Mortar #4,Structure Level
40,Air Defense #1,Structure Level
41,Air Defense #2,Structure Level
42,Air Defense #3,Structure Level
43,Air Defense #4,Structure Level
50,Wizard Tower #1,Structure Level
51,Wizard Tower #2,Structure Level
52,Wizard Tower #3,Structure Level
53,Wizard Tower #4,Structure Level
54,Wizard Tower #5,Structure Level
60,Air Sweeper #1,Structure Level
61,Air Sweeper #2,Structure Level
70,Hidden Tesla #1,Structure Level
71,Hidden Tesla #2,Structure Level
72,Hidden Tesla #3,Structure Level
73,Hidden Tesla #4,Structure Level
74,Hidden Tesla #5,Structure Level
80,Bomb Tower #1,Structure Level
81,Bomb Tower #2,Structure Level
90,X-Bow #1,Structure Level
91,X-Bow #2,Structure Level
92,X-Bow #3,Structure Level
93,X-Bow #4,Structure Level
100,Inferno Tower #1,Structure Level
101,Inferno Tower #2,Structure Level
102,Inferno Tower #3,Structure Level
110,Eagle Artillery,Structure Level
120,Scattershot #1,Structure Level
121,Scattershot #2,Structure Level
130,Builder's Hut #1,Structure Level
131,Builder's Hut #2,Structure Level
132,Builder's Hut #3,Structure Level
133,Builder's Hut #4,Structure Level
134,Builder's Hut #5,Structure Level
140,Monolith,Structure Level
150,Spell Tower #1,Structure Level
151,Spell Tower #2,Structure Level
160,Ricochet Cannon #1,Structure Level
161,Ricochet Cannon #2,Structure Level
162,Ricochet Cannon #3,Structure Level
170,Multi-Archer Tower #1,Structure Level
171,Multi-Archer Tower #2,Structure Level
172,Multi-Archer Tower #3,Structure Level
173,Multi-Archer Tower #4,Structure Level
180,Firespitter #1,Structure Level
181,Firespitter #2,Structure Level
190,Multi-Gear Tower,Structure Level
200,Revenge Tower,Structure Level
210,Super Wizard Tower #1,Structure Level
211,Super Wizard Tower #2,Structure Level
220,Crafted Defense AA,Structure Level
230,Crafted Defense AB,Structure Level
240,Crafted Defense AC,Structure Level
221,Crafted Defense BA,Structure Level
231,Crafted Defense BB,Structure Level
241,Crafted Defense BC,Structure Level
222,Crafted Defense CA,Structure Level
232,Crafted Defense CB,Structure Level
242,Crafted Defense CC,Structure Level
300,Wall #1,Structure Level
301,Wall #2,Structure Level
302,Wall #3,Structure Level
303,Wall #4,Structure Level
304,Wall #5,Structure Level
305,Wall #6,Structure Level
306,Wall #7,Structure Level
307,Wall #8,Structure Level
308,Wall #9,Structure Level
309,Wall #10,Structure Level
310,Wall #11,Structure Level
311,Wall #12,Structure Level
312,Wall #13,Structure Level
313,Wall #14,Structure Level
314,Wall #15,Structure Level
315,Wall #16,Structure Level
316,Wall #17,Structure Level
317,Wall #18,Structure Level
318,Wall #19,Structure Level
319,Wall #20,Structure Level
320,Wall #21,Structure Level
321,Wall #22,Structure Level
322,Wall #23,Structure Level
323,Wall #24,Structure Level
324,Wall #25,Structure Level
